# ----------------------------------------
# ページとスクリーン: ページパスとスクリーン クラス
# アカウント: soregaaashiii
# プロパティ: suelog.jp
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260418
# 終了日: 20260515
ページパス + クエリ文字列,表示回数,アクティブ ユーザー,アクティブ ユーザーあたりのビュー,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数,キーイベント,合計収益
/articles/body,47,2,23.5,376.5,121,0,0
/,43,14,3.0714285714285716,51.857142857142854,107,0,0
/articles/umeda-private-room-smoking,29,16,1.8125,20.25,70,0,0
/umeda,19,4,4.75,104.5,38,0,0
/shops/1925,15,6,2.5,24.5,41,0,0
/articles/sidebartest,14,1,14,660,30,0,0
/articles/umeda-shisha-bar-matome,12,5,2.4,31,31,0,0
/articles/umeda-yokonarabi-date-smoking,12,1,12,659,34,0,0
/umeda/genre/bar?page=2&per=30,12,1,12,116,12,0,0
/umeda/genre/bar,11,1,11,185,12,0,0
/shops/2207,9,8,1.125,10.125,31,0,0
/articles/the-single-umeda-smoking-room,8,2,4,38.5,18,0,0
/shops/429,7,1,7,49,13,0,0
/shops/470,7,1,7,571,15,0,0
/articles/umeda-all-you-can-drink-smoking,6,4,1.5,4.25,19,0,0
/shops/1701,6,4,1.5,5.25,18,0,0
/shops/480,6,2,3,28,10,0,0
/articles,5,2,2.5,42,11,0,0
/shops/230,5,4,1.25,6.25,15,0,0
/shops/3438,5,2,2.5,7,11,0,0
/shops/3682,5,5,1,7.6,16,0,0
/shops/3764,5,4,1.25,12.75,5,0,0
/shops/377,5,5,1,2,17,0,0
/shops/3786,5,3,1.6666666666666667,13.666666666666666,10,0,0
/umeda/smoking/all_smoking,5,3,1.6666666666666667,109.66666666666667,7,0,0
/articles/umeda-smoking-yakiniku-5000,4,2,2,46.5,11,0,0
/shops/211,4,1,4,25,9,0,0
/shops/2294,4,4,1,15.25,16,0,0
/shops/3197,4,3,1.3333333333333333,32,14,0,0
/shops/3364,4,4,1,6.5,14,0,0
/shops/3478,4,2,2,16,12,0,0
/shops/351,4,1,4,0,8,0,0
/shops/4210,4,2,2,54,6,0,0
/shops/456,4,1,4,24,7,0,0
