query,clicks,impressions,ctr,position
吸えログ,43,224,0.0447,1.56
the single 梅田,6,125,0.048,9.45
北新地 アウル ラウンジ,5,24,0.2083,5.83
kafka the listening & bar,4,227,0.0176,5.06
la belle mer,3,14,0.2143,8.71
おにぎりbar kome＋ 大阪市,3,62,0.0273,5.41
居酒屋コレカラ,3,24,0.0526,5.86
梅田 喫煙可能 居酒屋 個室,3,25,0.12,9.0
梅田 居酒屋 喫煙可 個室,3,51,0.0588,9.75
相席ラウンジ the single うめだ阪急東通り店 レビュー,3,228,0.0083,7.5
34kitchen,2,26,0.0769,8.88
bar candle,2,33,0.0606,6.94
ザフレッシュ,2,31,0.0645,10.35
大阪難波隠れ家焼き肉牛隱,2,122,0.0164,6.8
西天満 バー,2,3,0.6667,6.33
bar core osaka,1,35,0.0286,8.97
bar costa,1,10,0.1,5.9
bar expeage,1,20,0.05,7.75
bar novel レビュー,1,7,0.1429,6.71
bar second fill,1,14,0.0714,12.29
bar take off,1,5,0.2,5.8
bar terra,1,3,0.3333,4.0
brasserie alain,1,4,0.25,13.25
cafe&bar arc,1,27,0.037,6.26
chill lounge 梅田店,1,6,0.1667,8.67
ile de v,1,17,0.0588,4.71
jamaican grill half way tree,1,15,0.0667,8.07
jaw dim 梅田,1,19,0.0526,5.37
north trunk 写真,1,1,1.0,30.0
northbar,1,4,0.25,4.0
queueカフェ大阪,1,20,0.05,9.4
refuge umeda,1,5,0.2,9.8
sayamistyle(サヤミスタイル) 難波の立ち飲み 写真,1,26,0.0385,9.46
snack nico,1,7,0.1429,9.0
snack zen,1,2,0.5,6.5
standing bar neo,1,56,0.0062,36.24
star rist 梅田お初天神店,1,1,1.0,23.0
the single 大阪,1,94,0.0106,15.88
thesingle 梅田,1,1,1.0,10.0
third place shisha cafe&sweets bar,1,242,0.0021,17.88
tm17ビル,1,1,1.0,17.0
おにぎりカフェ 大阪,1,1,1.0,3.0
おむすびバー,1,1,1.0,1.0
かがやきキッチン,1,111,0.009,7.36
くまの深夜食堂&bar,1,5,0.2,7.4
こまつ 北新地,1,3,0.3333,8.33
だしまる,1,23,0.0435,11.43
まろうど,1,2,0.5,2.0
りんご屋 梅田,1,67,0.0149,7.27
アッパレシーシャ,1,2,0.5,1.0
エスカイヤクラブ 駅前第3ビル店,1,6,0.1667,12.33
カフェ queue,1,20,0.05,8.4
ガルリデュノール,1,23,0.0435,5.7
キミエール 写真,1,2,0.5,12.0
クラブジジ,1,78,0.0128,8.24
クラブリリス 梅田,1,49,0.0204,8.41
サカトリーナ(サカ鶏na),1,21,0.0476,7.86
ザシングル 梅田,1,258,0.0039,9.67
シーシャ梅田,1,1,1.0,7.0
ジャズオントップ 梅田,1,30,0.0333,7.17
ジュークトゥエンティー,1,34,0.0294,8.12
ジョージアカフェ 梅田,1,7,0.0833,9.5
