query,page,clicks,impressions,ctr,position
吸えログ,https://suelog.jp/,42,47,0.8936170212765957,1.2127659574468086
the single 梅田,https://suelog.jp/shops/1925,6,125,0.048,9.448
北新地 アウル ラウンジ,https://suelog.jp/shops/2207,5,24,0.20833333333333334,5.833333333333333
kafka the listening & bar,https://suelog.jp/shops/377,4,227,0.01762114537444934,5.057268722466961
la belle mer,https://suelog.jp/shops/3726,3,14,0.21428571428571427,8.714285714285715
おにぎりbar kome＋ 大阪市,https://suelog.jp/shops/2294,3,55,0.05454545454545454,2.381818181818182
居酒屋コレカラ,https://suelog.jp/shops/218,3,19,0.15789473684210525,3.3157894736842106
梅田 喫煙可能 居酒屋 個室,https://suelog.jp/articles/umeda-private-room-smoking,3,25,0.12,9
梅田 居酒屋 喫煙可 個室,https://suelog.jp/articles/umeda-private-room-smoking,3,51,0.058823529411764705,9.745098039215685
相席ラウンジ the single うめだ阪急東通り店 レビュー,https://suelog.jp/shops/1925,3,181,0.016574585635359115,7.922651933701657
34kitchen,https://suelog.jp/shops/1920,2,26,0.07692307692307693,8.884615384615385
bar candle,https://suelog.jp/shops/3660,2,33,0.06060606060606061,6.9393939393939394
ザフレッシュ,https://suelog.jp/shops/1678,2,31,0.06451612903225806,10.35483870967742
大阪難波隠れ家焼き肉牛隱,https://suelog.jp/shops/1766,2,122,0.01639344262295082,6.80327868852459
西天満 バー,https://suelog.jp/shops/3290,2,3,0.6666666666666666,6.333333333333333
bar core osaka,https://suelog.jp/shops/1599,1,35,0.02857142857142857,8.971428571428572
bar costa,https://suelog.jp/shops/368,1,10,0.1,5.9
bar expeage,https://suelog.jp/shops/1657,1,20,0.05,7.75
bar novel レビュー,https://suelog.jp/shops/378,1,7,0.14285714285714285,6.714285714285714
bar second fill,https://suelog.jp/shops/640,1,14,0.07142857142857142,12.285714285714286
bar take off,https://suelog.jp/shops/2292,1,5,0.2,5.8
bar terra,https://suelog.jp/shops/3148,1,3,0.3333333333333333,4
brasserie alain,https://suelog.jp/shops/3055,1,4,0.25,13.25
cafe&bar arc,https://suelog.jp/shops/904,1,27,0.037037037037037035,6.2592592592592595
chill lounge 梅田店,https://suelog.jp/shops/3040,1,6,0.16666666666666666,8.666666666666668
ile de v,https://suelog.jp/shops/3072,1,17,0.058823529411764705,4.705882352941177
jamaican grill half way tree,https://suelog.jp/shops/1980,1,15,0.06666666666666667,8.066666666666666
jaw dim 梅田,https://suelog.jp/shops/1912,1,19,0.05263157894736842,5.368421052631579
north trunk 写真,https://suelog.jp/shops/1900,1,1,1,30
northbar,https://suelog.jp/shops/673,1,4,0.25,4
queueカフェ大阪,https://suelog.jp/shops/3448,1,20,0.05,9.4
refuge umeda,https://suelog.jp/shops/2185,1,5,0.2,9.8
sayamistyle(サヤミスタイル) 難波の立ち飲み 写真,https://suelog.jp/shops/1703,1,26,0.038461538461538464,9.461538461538462
snack nico,https://suelog.jp/shops/553,1,7,0.14285714285714285,9
snack zen,https://suelog.jp/shops/438,1,2,0.5,6.5
standing bar neo,https://suelog.jp/shops/491,1,54,0.018518518518518517,6.722222222222222
star rist 梅田お初天神店,https://suelog.jp/shops/2174,1,1,1,23
the single 大阪,https://suelog.jp/shops/1925,1,94,0.010638297872340425,15.882978723404255
thesingle 梅田,https://suelog.jp/shops/1925,1,1,1,10
third place shisha cafe&sweets bar,https://suelog.jp/shops/1538,1,241,0.004149377593360996,8.755186721991702
tm17ビル,https://suelog.jp/shops/564,1,1,1,17
おにぎりカフェ 大阪,https://suelog.jp/shops/2294,1,1,1,3
おむすびバー,https://suelog.jp/shops/2294,1,1,1,1
